,bidder_id,min_time_interval,avg_time_interval,device_score,url_score,url_num,merchandise_score,merchandise_num,country_score,device_num,ip_num,country_num,total_bids,avg_bid_num,outcome
0,001068c415025a009fee375a12cff4fcnht8y,1e+30,1e+30,0.0131926121372,0.189083217986,1,0.0625928956448,1,0.0503927671558,1,1,1,1,1.0,0.0
1,0030a2dd87ad2733e0873062e4f83954mkj86,1e+30,1e+30,0.0353873479984,0.0,1,0.175966713976,1,0.0540747278611,1,1,1,1,1.0,0.0
2,00a0517965f18610417ee784a05f494d4dw6e,526315789.0,5.48683082707e+11,19.9730866868,3.59258114174,84,13.9593885317,1,21.4079920844,67,103,16,141,1.90540540541,0.0
3,00cc97158e6f4cb8eac3c0075918b7ffi5k8o,54052631579.0,2.7484e+13,0.259781437158,0.567249653959,1,0.141729622031,1,0.711284512652,3,3,2,3,1.0,0.0
4,01067975436d123f717ee5aba0dd4bbfa0937,52631579.0,25072829675.7,36.1122536626,100.403188751,4,33.9879423351,1,67.4869699557,165,398,71,543,31.9411764706,0.0
5,012441119bcf83b23d4768bb72cea6d6carua,105263158.0,5.62234449761e+11,2.99259926353,1.51266574389,3,4.04723442144,1,2.52410021778,16,19,10,23,1.21052631579,0.0
6,01255c2c7c5578c186873422fc00fd7afwk8k,578947369.0,2.07486019737e+11,6.31435650352,5.4834133216,29,4.06853821691,1,7.75273087318,34,55,5,65,5.0,0.0
7,01349288df20199905e719f0ff7ee771nwryj,157894737.0,1.90992372235e+11,4.99257234689,5.67249653959,23,12.3176699783,1,9.01503715231,28,49,4,70,2.25806451613,0.0
8,0141844fc725a85e38e12cc02fcdbbe8ofqxv,2526315789.0,7.22510835913e+11,1.0706535395,2.26899861584,2,3.16740085157,1,1.35878291105,13,16,6,18,1.28571428571,0.0
9,0181b91f58e6cbaa832235e2879c9c00ovrzi,11052631579.0,8.99428571429e+11,0.96074235499,1.3235825259,9,2.63950070964,1,1.90226192241,7,14,3,15,1.66666666667,0.0
